Name,Category,Address,Borough,Neighborhood,Latitude,Longitude,id,Rating,Price_cat,Tips,Likes
Agincourt Recreation Centre,Pool,31 Glen Watford Drive,Scarborough,Agincourt and Brimwood,43.791396338935705,-79.2720753942384,4ada1c78f964a520881e21e3,6,0,3,9.0
東東蛋捲王 Tung Tung Co,Snack Place,23 Glen Watford Dr,Scarborough,Agincourt and Brimwood,43.786879,-79.274569,5c264509f870fd002c496407,0,0,0,0.0
Midland Court,Food Court,4211 Sheppard Ave. E.,Scarborough,Agincourt and Brimwood,43.7867681419861,-79.2788884558071,4c6dd562c5243704657a29eb,0,0,0,0.0
AA Physiotherapy Health Clinic,Physical Therapist,"25 Glen Watford Dr., Unit 2-3",Scarborough,Agincourt and Brimwood,43.78707023112855,-79.2752664160658,4cd70db389eb6dcbe40e331e,0,0,0,0.0
FedEx Authorized Shipcentre,Office,2400 Midland Ave,Scarborough,Agincourt and Brimwood,43.782295498243855,-79.27691459655762,5170287d805598a19e5cd8e4,0,0,0,0.0
Guang Zhou Fine Cuisine,Cantonese Restaurant,4227 Sheppard Ave E,Scarborough,Agincourt and Brimwood,43.78495,-79.277877,561da211498ec2ad885553a3,0,0,0,0.0
The Co-operators,Office,8 Glen Watford Dr. #G33-36,Scarborough,Agincourt and Brimwood,43.786927391758624,-79.27639961242676,4bbe19d80ec69c74fdd25559,0,0,0,0.0
D & D Graphics Inc.,Print Shop,8 Glen Watford Dr #23,Scarborough,Agincourt and Brimwood,43.787065,-79.276675,5e34765fb524cb0008f199b8,0,0,0,0.0
One2 Snacks,Asian Restaurant,8 Glen Watford Drive,Scarborough,Agincourt and Brimwood,43.787047925304336,-79.27665787813419,4bdda89c587b2d7fd88a5409,7,0,9,14.0
In Cheon House Korean & Japanese Restaurant 인천관,Korean Restaurant,9 Glen Watford Dr.,Scarborough,Agincourt and Brimwood,43.78646767038441,-79.27569314969834,4d2f8a98789a8cfa6b0826c6,7,0,13,20.0
Bank of East Asia,Bank,Glen Watford Drive,Scarborough,Agincourt and Brimwood,43.787507,-79.277161,4c28cde6ed0ac9b63bc460aa,0,0,0,0.0
St. Timothy's Anglican Church Agincourt,Church,4125 Sheppard Ave East,Scarborough,Agincourt and Brimwood,43.784300903294444,-79.28237825206847,4c9656e6f6c8ef3bfdd081cf,0,0,0,0.0
The Hot Duck 鴨脖王,Butcher,25 Glen Watford Dr.,Scarborough,Agincourt and Brimwood,43.78721396869797,-79.27530527114868,4ba54f91f964a52034f938e3,0,0,0,0.0
Cousin Cafe 表哥茶餐廳,Hong Kong Restaurant,8 Glen Watford Dr.,Scarborough,Agincourt and Brimwood,43.78677856611482,-79.2771790430796,51d84f68498e20fcf16c13d9,5,0,2,1.0
King Huang Chinese Restaurant,Cantonese Restaurant,"4227 Sheppard Ave, E. Unit B1",Scarborough,Agincourt and Brimwood,43.785087192985614,-79.27784259246363,5647afde498e42030b40c86d,0,0,0,1.0
Red House Bakery,Bakery,11 Glen Watford Dr.,Scarborough,Agincourt and Brimwood,43.78653751833312,-79.27575668671945,4d0d1782903d370454dcc155,0,0,1,1.0
J & E Hair Design,Salon / Barbershop,4271 Sheppard Ave E,Scarborough,Agincourt and Brimwood,43.786135,-79.275585,4c6c2b9823c1a1cdb5d018cf,0,0,0,0.0
The Old House - North Chinese Cuisine,Chinese Restaurant,3 Glen Watford Dr,Scarborough,Agincourt and Brimwood,43.78618,-79.275743,4c4087aeff711b8d347e1005,0,0,1,3.0
KISS KTV,Karaoke Bar,"8 Glen Watford Dr., 2nd Floor",Scarborough,Agincourt and Brimwood,43.786710521810164,-79.27749395370483,509704b490e7b74069ad375e,0,0,0,0.0
Grand Ocean Restaurant,Restaurant,23 Glen Watford Dr,Scarborough,Agincourt and Brimwood,43.78693261153702,-79.27423007314356,4d2b495d6e27a143be653624,0,0,0,0.0
Old Neighbour Restaurant 老街坊天津韩记包子铺,Chinese Restaurant,"25 Glen Watford Dr, Unit 9",Scarborough,Agincourt and Brimwood,43.787077624306264,-79.27545357656848,53dbb77e498e6dfadda043fa,0,0,2,0.0
Advance Optical,Optical Shop,4236 Sheppard Ave. E,Scarborough,Agincourt and Brimwood,43.78607539814914,-79.27732229232788,4d95f04cb188721e9d4dea36,6,2,8,4.0
Agincourt X-Ray & Ultrasound Clinic,Doctor's Office,4235 Sheppard Ave. East,Scarborough,Agincourt and Brimwood,43.78527760747923,-79.2774132346545,4d77af9ca7e6b1f7806029df,5,4,85,142.0
朋福軒石鍋魚,Chinese Restaurant,4271 sheppard ave,Scarborough,Agincourt and Brimwood,43.78600774666685,-79.27594899962233,4daa26c94b22f071eab2110a,5,1,37,28.0
CPAP Direct LTD,Medical Center,"4211 Sheppard Ave. East, Unit A209",Scarborough,Agincourt and Brimwood,43.784928,-79.277816,4e49553e18a83cda37ce38a4,5,2,25,83.0
Congee King,Chinese Restaurant,4271 Sheppard Avenue East,Scarborough,Agincourt and Brimwood,43.78590778606772,-79.27604151758148,4aef7cb8f964a520ccd821e3,6,3,16,8.0
4142 Sheppard Ave East,Rental Car Location,4142 Sheppard Ave east,Scarborough,Agincourt and Brimwood,43.785297,-79.279941,51e6a736498e30815fb0fa18,5,3,82,16.0
Spring Garden Baptist Church,Church,112 Spring Garden Ave.,Scarborough,Agincourt and Brimwood,43.78365002628517,-79.28248283385913,4effb4a85c5c51dd2e4d5aef,5,1,63,86.0
CW Dance Shoes,Miscellaneous Shop,8 Glen Watford Drive Unit 13,Scarborough,Agincourt and Brimwood,43.78680584160936,-79.27578936359129,4faea8cde4b0ec82893d3be8,5,2,89,209.0
Noodle Legend 百年面道,Noodle House,"4271 Sheppard Ave E, Unit 11",Scarborough,Agincourt and Brimwood,43.78583176797483,-79.27565174610466,55836ac2498e980b8cbbdd0e,5,2,83,278.0
Scarborough Grand Seafood Restaurant,Chinese Restaurant,23 Glen Watford,Scarborough,Agincourt and Brimwood,43.7870663001502,-79.27478199890957,4b2f7fb2f964a520d3eb24e3,4,1,65,145.0
Industrial and Commercial Bank Of China (Canada) 中国工商银行(加拿大),Bank,8 Glen Watford Dr.,Scarborough,Agincourt and Brimwood,43.78666404957598,-79.27628695964813,4de8f7c3c65b72347a1ce68c,5,2,18,169.0
Avis Car Rental,Rental Car Location,4240 Sheppard Avenue East,Scarborough,Agincourt and Brimwood,43.785901,-79.277092,5346d92d498e2723d17eb44a,5,2,74,229.0
CPLO,Medical Center,Sheppard avenue,Scarborough,Agincourt and Brimwood,43.7849,-79.2775,53f7a096498e2a54511b6065,5,2,51,79.0
Pho Hong Ha,Vietnamese Restaurant,4271 Sheppard Ave E,Scarborough,Agincourt and Brimwood,43.785874,-79.276151,5257495111d208a4dd1b0320,5,1,2,216.0
HK Eatery,Chinese Restaurant,"8 Glen Watford Drive,  Unit F8",Scarborough,Agincourt and Brimwood,43.78703650689663,-79.27705543497565,518ae5b3498e0198981d2b4a,4,3,43,111.0
Perfect Health Centre,Medical Center,8 Glen Watford Drive,Scarborough,Agincourt and Brimwood,43.786772,-79.277416,4c951ee7f7cfa1cd8286ba15,5,4,94,43.0
Lam Shing Trading Co.,Grocery Store,4227 Sheppard Ave.,Scarborough,Agincourt and Brimwood,43.785398,-79.278149,4bcb8721cc8cd13a739ebfcf,5,3,42,273.0
A.C.I Weight Training (GYM),Gym / Fitness Center,Agincourt Collegiate Institute,Scarborough,Agincourt and Brimwood,43.78834,-79.278932,4d4b9142fbeb2c0fe189203a,5,2,4,217.0
Fisherman Villa 褔臨門,Hong Kong Restaurant,25 Glen Watford Dr.,Scarborough,Agincourt and Brimwood,43.78710781967966,-79.27593050538756,4bb74fea1344b7136f8e9e04,5,2,73,288.0
CTV Toronto Studios,Office,9 Channel Nine Ct,Scarborough,Agincourt and Malvern,43.781898580546,-79.25769918771536,4adcbd9df964a5204b2f21e3,5,4,68,200.0
Independent Electric Supply Inc,Construction & Landscaping,48 Milner Ave,Scarborough,Agincourt and Malvern,43.784808,-79.253068,4df6078988772e1f815be401,6,2,91,259.0
CTV Bell Media,Office,9 Channel Nine Crt.,Scarborough,Agincourt and Malvern,43.78151793347503,-79.25703167192104,4efa7a4b6da1f7b663ba2b45,6,2,19,185.0
TSN - Canada's Sports Leader,Office,9 Channel Nine Court,Scarborough,Agincourt and Malvern,43.78170986680909,-79.25868228835944,4e11dbd16284edb6badadfab,5,3,32,186.0
Discovery Channel Canada,Office,9 Channel Nine Court,Scarborough,Agincourt and Malvern,43.78166713304137,-79.2589503154732,4b634661f964a520256f2ae3,6,3,43,142.0
Bell Media Agency,Office,9 Channel Nine Ct,Scarborough,Agincourt and Malvern,43.78260627970399,-79.25797447522568,4e0a2efda80926c35bb358a7,5,1,94,15.0
The Niner Diner,Restaurant,9 Channel Nine Crt.,Scarborough,Agincourt and Malvern,43.781919425963146,-79.25914283228654,4d88d7134757721e51cd9569,5,4,16,66.0
Tim Hortons,Coffee Shop,3800 Kingston Rd,Scarborough,Agincourt and Malvern,43.748233643738374,-79.20783378998749,4e2b1ef318387cce066fc572,5,4,38,285.0
Snowhill Park,Park,Scarborough,Scarborough,Agincourt and Malvern,43.780405458665726,-79.26311731338501,4e890c1cd5fbdebaa84560a6,5,1,66,135.0
Sportchek,Clothing Store,Scarborough Town Centre,Scarborough,Agincourt and Malvern,43.777839,-79.258736,4d4c4d1b7aa6a35d28bbd570,5,3,56,16.0
Metro Office Furniture,Furniture / Home Store,55 Milner Ave.,Scarborough,Agincourt and Malvern,43.778945,-79.255061,4b6718b4f964a520383a2be3,6,3,74,39.0
Starbucks,Coffee Shop,"43 Milner Ave, Unit 2",Scarborough,Agincourt and Malvern,43.783742,-79.253186,4d9b165a7668f04d3869c993,3,2,4,5.0
Walmart Supercentre,Furniture / Home Store,300 Borough Dr                          Unit 3635,Scarborough,Agincourt and Malvern,43.777366606624724,-79.25873043091882,4c0d8e91336220a135f4ca77,6,3,23,183.0
Geek Squad,Other Repair Shop,480 Progress Ave.,Scarborough,Agincourt and Malvern,43.77875936080589,-79.25996991853447,5c91f1439411f2002c4340ee,5,3,79,122.0
Grace Christian Reformed Church,Church,25 Channel Nine Court,Scarborough,Agincourt and Malvern,43.783843,-79.257519,4b670ddef964a52045372be3,5,4,95,184.0
Miami Fade,Salon / Barbershop,1585 Markham Road,Scarborough,Agincourt and Malvern,43.78618,-79.25626,594f1ea7c0cacb24c042ed7f,5,4,13,106.0
Subway,Sandwich Place,"300 Borough Drive, Fc-03",Scarborough,Agincourt and Malvern,43.775469,-79.256997,4e10f40218a84f0f030f9536,5,4,35,298.0
Wine Rack,Wine Shop,1775 Brimley Rd.,Scarborough,Agincourt and Malvern,43.778263230422596,-79.26237896548403,4cff98c86923721ee937c03b,5,2,60,251.0
Sen Sushi,Sushi Restaurant,2338 Major Mackenzie,Scarborough,Agincourt and Malvern,43.78181146193385,-79.25886089551875,52267a7611d2467cba06bddd,5,2,92,130.0
Stars Men's Shops,Men's Store,300 Borough Drive,Scarborough,Agincourt and Malvern,43.77729141068732,-79.25864338874817,4f0b25bae5e8ef1bd2bf7fd2,5,1,62,182.0
CBI Health Centre - Scarborough,Medical Center,1457 McCowan Rd #218,Scarborough,Agincourt and Malvern,43.7856743909192,-79.25543629376288,511bd37fe4b047cffbf9509c,5,4,38,155.0
Pegasus Mortgages,Building,"1457 McCowan Road, Suite 202",Scarborough,Agincourt and Malvern,43.7852211,-79.2559967,58ad543f25911e6e57132533,4,2,66,211.0
Island Spice,Caribbean Restaurant,363 Pitfield Rd.,Scarborough,Agincourt and Malvern,43.78689641038559,-79.25824642181395,4bff0782369476b0e9448d1f,5,2,71,29.0
La-Z-Boy,Furniture / Home Store,530 Progress Ave.,Scarborough,Agincourt and Malvern,43.77914132459987,-79.25606946910405,4ca13b6179d9b1f7dff1bd99,5,2,100,230.0
Baton Rouge,American Restaurant,520 Progress Ave,Scarborough,Agincourt and Malvern,43.77926074538441,-79.25712704586414,4b6df7a9f964a520b59f2ce3,4,1,9,221.0
World Gym,Gym / Fitness Center,1455 Mccowan Rd,Scarborough,Agincourt and Malvern,43.78457971292356,-79.25532371036591,5307aeba11d2dbce9bcb6a97,5,1,88,118.0
Board Game Bliss,Gaming Cafe,50 Milner,Scarborough,Agincourt and Malvern,43.78426089550714,-79.25236946228873,566dd757498e49315acd8a7e,5,3,86,288.0
CIBC,Bank,480 Progress Ave e1,Scarborough,Agincourt and Malvern,43.779005,-79.260833,5ab90689d3cce81a826f882a,5,1,92,15.0
Shell,Gas Station,1670 Mccowan Rd,Scarborough,Agincourt and Malvern,43.78706118029466,-79.25757415564983,4bf77ac38d30d13a972bff17,4,4,30,15.0
Giggles Playland,General Entertainment,70 Milner Avenue,Scarborough,Agincourt and Malvern,43.784380732679956,-79.25153253575192,4f763112e4b0a174ae22bae1,5,3,78,31.0
Thai Room,Thai Restaurant,43 Milner Avenue,Scarborough,Agincourt and Malvern,43.783245,-79.25291,58ed6b4b790bea6d1e00c93f,5,1,56,82.0
Curio Hair + Body,Salon / Barbershop,300 Borough Drive,Scarborough,Agincourt and Malvern,43.776894,-79.25799,5733ade9498e975bbf12737c,5,4,98,122.0
Foot Locker,Shoe Store,"300 Borough Drive, Ste 295",Scarborough,Agincourt and Malvern,43.776608,-79.258463,55c8d147498ec482a69425df,5,3,37,270.0
Local 44 Kitchen & Bar,Restaurant,41 Milner Ave,Scarborough,Agincourt and Malvern,43.78396,-79.2538,5c1d9496a35f460025846a6e,4,3,97,258.0
Made In Japan,Japanese Restaurant,Milner Ave,Scarborough,Agincourt and Malvern,43.783630633475816,-79.25299715229302,4ef212e0e3003ccf8440ba93,6,4,13,185.0
West 49,Boutique,300 Borough Dr,Scarborough,Agincourt and Malvern,43.78278773963337,-79.25736333585857,4c754821c219224bb106a228,5,2,88,143.0
Town Centre Plaza,Office,1457 McCowan Rd,Scarborough,Agincourt and Malvern,43.7852817055684,-79.25534911707709,4d2c50cb849f3704e68f9941,5,2,44,70.0
Kevins Office,Coworking Space,9 Channel Nine Court,Scarborough,Agincourt and Malvern,43.78302080543051,-79.258409427845,4f21ad43e4b0dbf58db92a2f,5,2,81,117.0
Trade Secrets,Cosmetics Shop,300 Borough drive,Scarborough,Agincourt and Malvern,43.7774098242661,-79.25517751652364,50806ca4e4b0ba1a303e58a0,5,3,59,132.0
Laura,Women's Store,300 Borough Dr,Scarborough,Agincourt and Malvern,43.777795572737325,-79.25427454354477,55898bfd498ea2a26e2a2e85,5,3,73,258.0
Jack Astor's Bar & Grill,Restaurant,580 Progress Ave,Scarborough,Agincourt and Malvern,43.77750229592645,-79.2545536457394,4b1b43d1f964a52057fa23e3,5,1,89,92.0
Krishna's house,General Entertainment,Mccowan rd,Scarborough,Agincourt and Malvern,43.778029278143464,-79.25366888606756,4c280efbfe6e2d7fd4cb523c,5,1,30,70.0
Physical Therapy One,Medical Center,1755 Brimley Rd.,Scarborough,Agincourt and Malvern,43.77849621196606,-79.26262120644523,4e289812b0fba988bb6daf55,5,3,31,77.0
Tuxedo Royale,Bridal Shop,300 Borough Drive,Scarborough,Agincourt and Malvern,43.777003882834734,-79.25809009573905,4c39e738dfb0e21e9c22b1a8,5,1,71,252.0
Black's Photography,Camera Store,300 Borough Dr,Scarborough,Agincourt and Malvern,43.775640706091124,-79.25806807279511,4c25822fdb51952122352c3a,5,2,55,284.0
Garage,Women's Store,93-300 Borough Dr,Scarborough,Agincourt and Malvern,43.78025580724152,-79.2579414407671,4ed27a2130f81894b0cb4dd1,5,3,55,190.0
Sears Portrait Studio,Design Studio,300 Borough Drive,Scarborough,Agincourt and Malvern,43.777719762462176,-79.2560584573955,505ca193e4b0fae5e8783f06,5,2,78,115.0
Dairy Queen,Ice Cream Shop,Kingston Road & St.Clair,Scarborough,Agincourt and Malvern,43.78304,-79.253084,4dd999062271c5d36d707ce8,5,4,59,271.0
Gervais Party And Tent Rentals Ltd,Event Space,75 Milner Ave,Scarborough,Agincourt and Malvern,43.78387564940775,-79.25232410430907,53b13b8b498e1d9ef5e909f0,5,4,91,34.0
BMO Bank of Montreal,Bank,Ellesmere,Scarborough,Agincourt and Malvern,43.779276,-79.255081,4dc67ab418387d1bd55866b0,5,2,59,286.0
Princess Auto,Hardware Store,"1455 McCowan Rd, Unit 1",Scarborough,Agincourt and Malvern,43.784459,-79.25558,507d75d4e4b04eb88cba01ea,5,3,21,73.0
City of Toronto Children's Services,Government Building,55 John St.,Scarborough,Agincourt and Malvern,43.785138,-79.256307,4d2c52be6e27a143f7e53f24,8,3,9,214.0
Tai Ming Dry Clean,Laundry Service,Corporate Drive,Scarborough,Agincourt and Malvern,43.77957446933698,-79.255326175876,4f1dd842e4b0e6bade172178,5,2,88,97.0
Fit for Life Scarborough Town Center,Fast Food Restaurant,300 Borough Drive,Scarborough,Agincourt and Malvern,43.778851,-79.258916,4b5879abf964a520875928e3,6,4,23,110.0
Rouge Meeting Room,Conference Room,100 consilium,Scarborough,Agincourt and Malvern,43.7778,-79.253742,4de7b86fae60b9d735346f1c,5,1,48,236.0
HC Mojito's Pool at 8 Lee,Gym Pool,8 Lee Centre Drive,Scarborough,Agincourt and Malvern,43.777368,-79.259701,4d9fa86949afb60ccf3ba38d,6,4,29,266.0
#Activgrind,Gym / Fitness Center,2370 Midland Avenue Unit A11,Scarborough,Agincourt and Malvern,43.7780012011233,-79.25610250422193,54691954498e3711214581a2,5,3,43,134.0
The Dry Cleaner,Laundry Service,1755 Brimley Road,Scarborough,Agincourt and Malvern,43.778232386518916,-79.26200459185819,4ca0f4c446978cfa3d1db87f,7,2,18,236.0
Joe Fresh,Clothing Store,1755 Brimley Rd,Scarborough,Agincourt and Malvern,43.778003,-79.263245,4d600575b6b9a1cd5e3e7651,5,4,97,273.0
Desjardins Financial Security,Office,1457 McCowan Road,Scarborough,Agincourt and Malvern,43.78471581,-79.25367931,4cc6074ebde8f04d3c98b44b,5,3,80,44.0
National Sports,Sporting Goods Shop,1455 McCowan Rd,Scarborough,Agincourt and Malvern,43.78448378936947,-79.25513821936576,4b67095bf964a52033362be3,5,3,6,236.0
Just Feel It Toronto Dance Studio,Dance Studio,10 Milner Ave,Scarborough,Agincourt and Malvern,43.785637,-79.25586,57240598498e66bc35a0f15f,4,4,14,49.0
Cora's,Breakfast Spot,45 Milner,Scarborough,Agincourt and Malvern,43.78341688524566,-79.25310719667152,4c87c446334537040e911572,5,3,65,100.0
Best Buy,Electronics Store,480 Progress Ave.,Scarborough,Agincourt and Malvern,43.7787826,-79.2599905,4aef65e8f964a5201fd821e3,5,4,64,107.0
Swiss Chalet,Restaurant,300 Borough Dr Unit 1002,Scarborough,Agincourt and Malvern,43.77865947644688,-79.25683658173074,4ceaaf00baa6a1cd88673a6c,4,3,3,134.0
Walmart Pharmacy,Pharmacy,300 Borough Dr Unit 3635,Scarborough,Agincourt and Malvern,43.77723246395204,-79.25871364773911,5e9772ba7a1d8d000826572a,5,3,63,245.0
Yves Rocher,Health & Beauty Service,300 Borough Drive,Scarborough,Agincourt and Malvern,43.77624489999999,-79.2587678,4f38316de4b0beedd2d08eb5,6,2,39,158.0
Booster Juice,Smoothie Shop,"300 Borough Drive, Unit #4A",Scarborough,Agincourt and Malvern,43.77689726,-79.25815206,50d601c5498e6fa63290c2ea,5,3,90,213.0
Winners,Department Store,45 Milner Avenue,Scarborough,Agincourt and Malvern,43.7827428246865,-79.2527666687965,4c3f895dd7fad13a84a904da,5,2,19,63.0
Scarborough Optometric Clinic,Doctor's Office,207-1457 McCowan Rd,Scarborough,Agincourt and Malvern,43.785179,-79.256291,4c895e162e3337048943ba41,5,1,29,153.0
Loblaw pharmacy,Pharmacy,1755 Brimley Rd,Scarborough,Agincourt and Malvern,43.778003,-79.263245,4d40270fcb84b60c257f83ab,5,3,88,103.0
Urban Behavior,Clothing Store,300 Borough Dr,Scarborough,Agincourt and Malvern,43.776755,-79.259008,5bfbbc3a666116002c8d4b71,5,2,76,112.0
Teriyaki Experience,Japanese Restaurant,45 Milner Ave,Scarborough,Agincourt and Malvern,43.78353928225575,-79.25311747735508,4b7342eef964a520f4a42de3,5,1,27,162.0
Mr.Sub,Restaurant,"45 Milner Ave, Town Centre Plaza",Scarborough,Agincourt and Malvern,43.7829,-79.252779,4b913eeaf964a520d0ac33e3,5,4,38,249.0
Uber Greenlight,Building,"1457 McCowan Road, Suite 217",Scarborough,Agincourt and Malvern,43.784936805913425,-79.25536572933191,5b2928afea1e44002b04b45b,5,2,79,73.0
H&R Block,Financial or Legal Service,"3850 Sheppard Ave E,Walmart",Scarborough,Agincourt and Malvern,43.782179011650975,-79.25381754781037,4cfe6bf347699eb022e81515,5,3,24,31.0
Scaddabush Italian Kitchen & Bar,Italian Restaurant,580 Progress Ave.,Scarborough,Agincourt and Malvern,43.77745990418128,-79.25435776816887,5785be37498e9bd8a28941b0,5,2,28,147.0
Milestones,Restaurant,300 Borough Dr Unit 1001,Scarborough,Agincourt and Malvern,43.77806010908817,-79.25532134026366,4bb51a302f70c9b6f0bb8330,6,1,6,296.0
Faith Family Books & Gifts,Bookstore,102 - 5 Milner Ave.,Scarborough,Agincourt and Malvern,43.78332985690461,-79.25315682715052,4b1d72f3f964a520b21024e3,5,3,84,225.0
Le Château,Women's Store,300 Borough Dr.,Scarborough,Agincourt and Malvern,43.778836954911824,-79.25702197700127,4c4486def799e21e8fefada2,5,3,69,117.0
pioneer pizza,Pizza Place,Pitfield Rd,Scarborough,Agincourt and Malvern,43.7843436335746,-79.26373881004605,536ec619498ed93756571fbf,5,3,36,175.0
TTC Bus #302 - Danforth rd - McCowan,Bus Line,Mccowan,Scarborough,Agincourt and Malvern,43.779276,-79.255081,4dc67e38ae608779d1552b6f,5,3,10,25.0
Tim Hortons,Coffee Shop,435 Browns Line,Etobicoke,Alderwood,43.60239631505536,-79.5450476557017,50ad1433e4b065fd4f678ffd,5,3,97,130.0
Il Paesano Pizzeria & Restaurant,Pizza Place,396 Browns Line,Etobicoke,Alderwood,43.60128,-79.545028,4c47927c1ddec928fbec9d32,5,3,96,202.0
Alderwood Dental Associates,Dentist's Office,440 Brown's Line,Etobicoke,Alderwood,43.60193113170467,-79.54573631286621,4b8421b8f964a520bd2231e3,5,1,98,270.0
Frank's Unisex Salon,Salon / Barbershop,390 Browns Line,Etobicoke,Alderwood,43.601219554592134,-79.54511148453246,4df908c462e1bb821b60672c,4,2,8,261.0
Shell,Gas Station,435 Browns Line,Etobicoke,Alderwood,43.602247813197586,-79.54505338380378,4b7744adf964a520568d2ee3,5,2,38,108.0
Scotiabank,Bank,388 Brown's Line Rd.,Etobicoke,Alderwood,43.60143556721108,-79.54502915461839,4e67b60d45dde0f9e28ae559,6,2,38,281.0
