Borough,Neighborhood,Latitude,Longitude
Scarborough,Oakridge,0.0,0.0
York,Oakwood Village,0.0,0.0
East York,Old East York,0.0,0.0
Old City of Toronto,Little Italy and Palmerston,0.0,0.0
North York,Parkwoods,0.0,0.0
North York,Humberlea,0.0,0.0
Old City of Toronto,Playter Estates and Greektown,0.0,0.0
North York,Pleasant View,0.0,0.0
Etobicoke,"Princess Anne Manor, Thorncrest Village, and Princess Margaret",0.0,0.0
Old City of Toronto,"Regent Park, Trefann Court",0.0,0.0
Etobicoke,Rexdale,0.0,0.0
York,"Harwood, Syme",0.0,0.0
Old City of Toronto,Roncesvalles,0.0,0.0
Old City of Toronto,Rosedale and Moore Park,0.0,0.0
Scarborough,"West Rouge, Rouge Park",0.0,0.0
Old City of Toronto,Runnymede-Bloor West Village,0.0,0.0
Old City of Toronto,"Parkdale, South Parkdale",0.0,0.0
North York,York Mills and Hoggs Hollow,0.0,0.0
Etobicoke,"Humber Bay, Queensway",0.0,0.0
Old City of Toronto,"The Beach/Beaches, Beaches North",0.0,0.0
Old City of Toronto,"Distillery District, Old Town, St. Lawrence",0.0,0.0
Old City of Toronto,"Carlton, Davenport, St. Clair Gardens",0.0,0.0
Old City of Toronto,Chaplin Estates,0.0,0.0
North York,"Glen Park, Lawrence Heights",0.0,0.0
